,Feature,Coefficient
0,pipeline-1__ca,0.6746530980012615
1,onehotencoder__cp_4.0,0.6147850844624496
2,pipeline-2__thal_7.0,0.4500905306462332
3,standardscaler__oldpeak,0.40038834921186206
4,onehotencoder__exang_1.0,0.323724983045363
5,onehotencoder__sex_1.0,0.2976772502259974
6,onehotencoder__slope_2.0,0.2755653019140462
7,standardscaler__trestbps,0.25334121258987163
8,onehotencoder__restecg_2.0,0.16872434784041151
9,onehotencoder__fbs_0.0,0.1610194973489787
10,standardscaler__age,0.027461642825056632
11,standardscaler__chol,0.014375789622303391
12,pipeline-2__thal_6.0,0.006372765392017235
13,onehotencoder__restecg_1.0,-0.007912214031535778
14,onehotencoder__cp_2.0,-0.05575603705704855
15,onehotencoder__slope_3.0,-0.12403495298785225
16,onehotencoder__slope_1.0,-0.15156029269528923
17,onehotencoder__restecg_0.0,-0.16084207757797103
18,onehotencoder__fbs_1.0,-0.1610494411180739
19,onehotencoder__cp_3.0,-0.2453993066041092
20,onehotencoder__sex_0.0,-0.29770719399509266
21,onehotencoder__cp_1.0,-0.3136596845703872
22,onehotencoder__exang_0.0,-0.32375492681445833
23,standardscaler__thalach,-0.4068582246946519
24,pipeline-2__thal_3.0,-0.4564932398073459
